220385 FLORESTA DO PIAUI;0;93.1;100;145.83;48.15;0;70;56.67;164.71;60.71;0
220390 FLORIANO;0;122.99;94.7;80.98;90.82;113.79;42.43;78.39;76.07;68.85;0
220400 FRANCINOPOLIS;0;137.29;103.39;127.78;86.57;65.96;121.57;111.76;103.33;84.48;0
220410 FRANCISCO AYRES;0;103.23;129.03;106.45;64.29;61.67;55.74;78.69;85.94;124.53;0
220415 FRANCISCO MACEDO;0;130;100;65.38;83.33;92.68;50;92;110.34;68.57;0
220420 FRANCISCO SANTOS;0;100;74.65;90.91;60;9.47;0;101.61;101.14;84.54;0
220430 FRONTEIRAS;0;104.55;107.39;84.52;77.91;84.89;77.78;71.24;80.82;100.84;0
220435 GEMINIANO;0;101.3;124.68;106.02;80.49;45.33;46.38;113.04;72.22;68.18;0
220440 GILBUES;0;80;111.5;83.14;74.18;105.29;45.16;65.05;60.54;33.82;0
220450 GUADALUPE;0;152.9;107.1;89.76;82.12;95;93.01;72.58;87.72;91.58;0
220455 GUARIBAS;0;95.35;98.84;75.29;85.71;62.69;3.39;123.73;134.72;103.57;0
220460 HUGO NAPOLEAO;0;119.61;78.43;125.93;48.89;88.24;106;92;100;139.02;0
220465 ILHA GRANDE;0;38.32;61.08;83.33;87.7;6.76;5.23;56.21;80.58;45.73;0
220470 INHUMA;0;107.31;86.3;90.21;73.66;72.28;54.73;69.65;88.48;84.24;0
220480 IPIRANGA DO PIAUI;0;100.72;114.39;105.19;131.58;87.69;23.33;28.33;31.78;36.94;0
220490 ISAIAS COELHO;0;97.04;88.15;105.43;85.94;100;107.2;98.4;95.5;87.9;0
220500 ITAINOPOLIS;0;37.41;84.17;103.88;102.11;114.78;88.68;92.45;104.5;90.68;0
220510 ITAUEIRA;0;100.64;101.92;100;48.37;78;103.31;100;93.38;85.61;0
220515 JACOBINA DO PIAUI;0;83.33;143.06;105.13;80.21;83.33;89.47;89.47;68.83;107.27;0
220520 JAICOS;0;133.09;102.23;102.56;57.14;58.74;41.64;50.76;89.3;80.15;0
220525 JARDIM DO MULATO;0;105.56;81.48;76.36;70.83;78.69;81.97;67.21;143.59;96.3;0
220527 JATOBA DO PIAUI;0;88.17;94.62;92.31;68.18;234.55;62.71;66.1;100;110.87;0
220530 JERUMENHA;0;54.1;101.64;55.56;67.86;59.68;28.74;29.89;46.58;19.7;0
